Suspect ID,Name,Description,Previous Convictions,Interview Date,Age Group,Crime Type,Arrested,Postcode
S1163,Joshua Allen,"female, 6'1"", grey sweater",3,2025-06-06,18-24,Theft from the person,Yes,HA3 7DY
S0137,John Anderson,"female, 6'1"", dark coat",10,2025-06-13,18-24,Bicycle theft,No,EC3N 2NN
S1351,James Brown,"male, 6'0"", white t-shirt",10,2025-07-16,35-44,Bicycle theft,No,W6 0BG
S1432,Richard Smith,"female, 5'5"", red jacket",12,2025-06-21,25-34,Theft from the person,No,WC2B 5PB
S1039,James Lopez,"male, 5'11"", blue jeans",7,2025-06-30,45-54,Theft from the person,Yes,E1 8AU
S0222,Amelia Nelson,"male, 5'9"", blue jeans",5,2025-06-09,45-54,Theft from the person,Yes,UB1 9PQ
S0892,Barbara Carter,"female, 6'1"", denim jacket",13,2025-07-11,45-54,Bicycle theft,No,WC2N 6PX
S0707,Helen Anderson,"male, 5'7"", leather jacket",12,2025-05-10,25-34,Theft from the person,Yes,BR3 2AY
S1485,Harper Taylor,"female, 5'7"", grey sweater",30,2025-05-03,25-34,Bicycle theft,No,E16 2JX
S0173,Lisa Martin,"female, 5'6"", grey sweater",11,2025-06-22,18-24,Theft from the person,Yes,SW9 9YN
S0938,Sarah Wilson,"female, 5'5"", baseball cap",15,2025-06-15,18-24,Bicycle theft,Yes,NW1 3AN
S0828,Robert Allen,"female, 5'11"", black hoodie",3,2025-05-31,45-54,Bicycle theft,Yes,TW8 9TQ
S1067,John Scott,"female, 6'2"", tracksuit",9,2025-07-09,18-24,Bicycle theft,No,SW1V 4DB
S0071,Christopher Jackson,"female, 5'10"", leather jacket",4,2025-06-12,18-24,Bicycle theft,Yes,SW1V 3BL
S1433,Richard Thompson,"male, 6'0"", tracksuit",18,2025-06-24,35-44,Bicycle theft,Yes,SE3 0BY
S1053,Joshua Gonzalez,"female, 5'8"", tracksuit",6,2025-05-08,35-44,Theft from the person,No,RM3 9NT
S0751,Carol Campbell,"male, 5'11"", tracksuit",8,2025-05-01,25-34,Theft from the person,Yes,SE5 5LG
S0281,Anthony Scott,"female, 5'10"", dark coat",6,2025-06-29,18-24,Bicycle theft,No,EC3V 0BU
S0260,Isabella Moore,"female, 5'4"", blue jeans",14,2025-07-03,18-24,Bicycle theft,No,SW7 3NB
S1267,Betty Hernandez,"female, 5'8"", black hoodie",15,2025-05-12,35-44,Bicycle theft,Yes,N17 8NH
S0512,Sharon White,"female, 5'11"", tracksuit",5,2025-05-11,25-34,Theft from the person,Yes,SW6 9GU
S1419,Carol Hall,"male, 5'7"", baseball cap",9,2025-07-27,55+,Bicycle theft,Yes,NW3 4YL
S0286,Harper Hernandez,"male, 5'9"", black hoodie",3,2025-06-01,18-24,Theft from the person,Yes,E20 1GT
S1097,Charlotte Gonzalez,"male, 5'4"", denim jacket",25,2025-07-22,45-54,Bicycle theft,Yes,SW9 9AD
S1476,Matthew Williams,"female, 5'8"", denim jacket",46,2025-06-03,18-24,Bicycle theft,Yes,UB5 6YE
S0576,Steven Green,"female, 5'8"", grey sweater",7,2025-05-07,55+,Bicycle theft,No,KT2 7JX
S0500,Anthony Adams,"male, 5'10"", dark coat",3,2025-05-26,25-34,Bicycle theft,No,HA1 1HL
S1319,Robert Roberts,"male, 5'11"", tracksuit",13,2025-06-23,25-34,Bicycle theft,Yes,W1H 6LR
S1439,Donna Nelson,"male, 6'2"", red jacket",54,2025-05-17,45-54,Bicycle theft,No,SE23 3ES
S1215,James Adams,"female, 5'7"", denim jacket",3,2025-05-06,18-24,Bicycle theft,Yes,UB7 8AL
S1181,Barbara Green,"female, 6'1"", denim jacket",12,2025-05-10,55+,Theft from the person,No,SE5 8QW
S0171,Michelle Nelson,"male, 5'9"", tracksuit",15,2025-06-03,35-44,Bicycle theft,Yes,SW1W 0BX
S1114,Richard Martinez,"male, 5'11"", grey sweater",1,2025-07-15,18-24,Bicycle theft,Yes,W4 1RU
S0667,Michelle Walker,"male, 5'9"", black hoodie",21,2025-07-05,45-54,Theft from the person,No,RM14 1UR
S1427,Lisa Hall,"male, 5'9"", white t-shirt",25,2025-06-17,18-24,Bicycle theft,No,TW9 3LF
S1190,David Lopez,"female, 5'11"", black hoodie",8,2025-06-04,35-44,Bicycle theft,Yes,SE25 6LB
S0256,Christopher Walker,"male, 5'7"", baseball cap",7,2025-06-18,45-54,Bicycle theft,No,SE1P 6ER
S0871,Helen Walker,"female, 5'4"", denim jacket",7,2025-07-16,35-44,Theft from the person,Yes,E14 1EP
S1364,Olivia Hernandez,"male, 5'10"", blue jeans",15,2025-06-25,35-44,Theft from the person,Yes,SW11 9QZ
S0967,Michelle Torres,"female, 6'0"", leather jacket",7,2025-06-19,25-34,Bicycle theft,Yes,IG11 8GD
S0162,Betty Walker,"female, 6'2"", grey sweater",14,2025-06-05,18-24,Theft from the person,Yes,CR0 4TT
S1425,Christopher Green,"female, 5'7"", denim jacket",15,2025-07-30,55+,Bicycle theft,No,E15 3EA
S1225,Carol Wilson,"male, 6'0"", tracksuit",12,2025-06-07,35-44,Bicycle theft,No,TW1 1UF
S0282,Nancy Garcia,"female, 5'9"", denim jacket",21,2025-06-01,55+,Bicycle theft,No,TW14 0QA
S0707,Helen Anderson,"male, 5'7"", leather jacket",9,2025-05-29,45-54,Theft from the person,No,E7 8QG
S1437,Anthony Hall,"male, 5'6"", red jacket",6,2025-05-03,55+,Bicycle theft,No,SW11 1RQ
S1137,Patricia Campbell,"female, 5'9"", blue jeans",14,2025-06-11,35-44,Bicycle theft,No,DA1 4NS
S0107,Christopher Flores,"male, 6'1"", dark coat",13,2025-06-10,55+,Theft from the person,Yes,DA15 7EF
S0455,Elizabeth Carter,"male, 6'1"", dark coat",5,2025-05-21,18-24,Bicycle theft,No,HA2 8BT
S0983,Linda Johnson,"female, 6'0"", grey sweater",13,2025-05-04,25-34,Theft from the person,No,BR7 5AB
S0875,Steven Williams,"female, 5'6"", tracksuit",17,2025-07-28,18-24,Theft from the person,Yes,UB10 9BD
S1173,Elizabeth Harris,"female, 6'0"", denim jacket",24,2025-05-27,45-54,Theft from the person,Yes,SE18 9PN
S1029,Carol Adams,"male, 5'4"", dark coat",12,2025-05-23,25-34,Bicycle theft,No,SM5 2HT
S1497,Joshua Harris,"male, 5'6"", denim jacket",16,2025-06-28,55+,Theft from the person,No,SW1A 2DG
S0198,Amelia Martinez,"female, 5'5"", red jacket",11,2025-05-07,45-54,Theft from the person,Yes,E14 5HF
S1011,Andrew Martin,"female, 6'0"", tracksuit",20,2025-07-21,55+,Bicycle theft,No,W3 3FU
S1381,Sandra Mitchell,"female, 6'1"", denim jacket",12,2025-06-25,25-34,Theft from the person,No,E3 2TF
S1436,Sarah Carter,"female, 5'6"", red jacket",14,2025-05-22,35-44,Theft from the person,No,W1R 2DN
S1099,Sharon Taylor,"female, 5'4"", white t-shirt",11,2025-06-18,45-54,Theft from the person,Yes,TW2 7UQ
S1050,Joseph Robinson,"male, 5'9"", red jacket",19,2025-05-30,35-44,Bicycle theft,No,N15 4GE
S0968,Thomas Lee,"male, 5'11"", black hoodie",16,2025-07-17,35-44,Theft from the person,Yes,N4 2PX
S1292,Charlotte Brown,"female, 5'9"", leather jacket",22,2025-05-15,18-24,Bicycle theft,No,N17 9FF
S0466,Sharon Lewis,"female, 5'5"", grey sweater",14,2025-06-24,55+,Theft from the person,No,SE1 2DA
S0088,Paul Thompson,"female, 6'1"", white t-shirt",23,2025-05-02,35-44,Theft from the person,Yes,N6 6QZ
S0806,Charlotte King,"female, 5'11"", red jacket",7,2025-07-10,55+,Theft from the person,Yes,W1N 5LF
S1445,Donna Martin,"male, 6'2"", tracksuit",26,2025-06-21,45-54,Bicycle theft,No,NW8 8SN
S1440,Mia Thompson,"female, 5'4"", baseball cap",7,2025-05-17,55+,Bicycle theft,No,CR2 5JJ
S0377,Thomas Green,"female, 5'7"", baseball cap",14,2025-07-09,18-24,Bicycle theft,Yes,EC1V 7DQ
S1320,Sophia Baker,"male, 5'7"", white t-shirt",18,2025-07-23,55+,Bicycle theft,No,N20 9LD
S0416,Linda Jones,"male, 6'1"", white t-shirt",5,2025-06-25,18-24,Theft from the person,Yes,CR0 8PY
S1439,Donna Nelson,"male, 6'2"", red jacket",13,2025-05-15,18-24,Bicycle theft,No,W1M 3AP
S0061,James Walker,"male, 5'9"", blue jeans",23,2025-07-11,45-54,Theft from the person,No,N4 9HH
S1204,Matthew Scott,"female, 6'2"", red jacket",5,2025-06-13,18-24,Theft from the person,No,W13 8WZ
S0947,Barbara Baker,"male, 5'11"", leather jacket",4,2025-05-07,25-34,Bicycle theft,Yes,WC1N 3DH
S0595,Christopher Johnson,"female, 5'7"", red jacket",17,2025-07-14,25-34,Theft from the person,Yes,KT1 1UJ
S1449,William Lee,"female, 5'11"", black hoodie",15,2025-06-27,55+,Theft from the person,Yes,SE10 9QT
S1307,Karen Hill,"male, 5'9"", denim jacket",20,2025-05-15,45-54,Bicycle theft,Yes,W10 6TT
S0181,Mia Walker,"female, 5'4"", baseball cap",15,2025-05-31,45-54,Bicycle theft,No,TW8 8LE
S0136,Sharon Williams,"male, 5'6"", tracksuit",12,2025-07-28,35-44,Theft from the person,No,E1 4PG
S0109,Donald Harris,"male, 5'10"", denim jacket",8,2025-06-26,55+,Bicycle theft,Yes,W3 8NY
S1065,Olivia Nelson,"female, 6'0"", blue jeans",7,2025-06-18,35-44,Theft from the person,No,W1H 1RW
S0844,Harper Rivera,"male, 5'9"", tracksuit",13,2025-05-24,18-24,Bicycle theft,No,EN5 4EP
S1377,Thomas Hernandez,"female, 5'6"", baseball cap",17,2025-06-06,18-24,Theft from the person,Yes,N17 6QW
S0358,Ava Allen,"male, 5'7"", dark coat",1,2025-05-24,25-34,Bicycle theft,No,UB1 3BW
S0845,Anthony Miller,"female, 5'8"", blue jeans",17,2025-05-15,25-34,Bicycle theft,Yes,DA15 8HD
S1150,Anthony Rivera,"female, 5'5"", white t-shirt",12,2025-06-06,55+,Theft from the person,Yes,SE25 4NA
S1150,Anthony Rivera,"female, 5'5"", white t-shirt",9,2025-05-29,55+,Theft from the person,No,N8 9PH
S1233,Olivia Thomas,"male, 6'1"", tracksuit",1,2025-05-13,25-34,Theft from the person,No,NW5 3NH
S0487,Betty Harris,"male, 5'7"", denim jacket",9,2025-05-27,55+,Bicycle theft,Yes,SE11 5ZN
S1132,Donna Allen,"male, 5'11"", baseball cap",20,2025-06-09,35-44,Bicycle theft,No,SM1 2BA
S1216,Christopher Wright,"female, 6'0"", tracksuit",10,2025-07-22,25-34,Bicycle theft,No,IG11 1ZZ
S1443,Sandra Brown,"female, 5'10"", leather jacket",13,2025-05-05,55+,Theft from the person,No,HA7 3SJ
S1010,Helen Wilson,"female, 6'0"", red jacket",4,2025-06-02,35-44,Theft from the person,No,N16 5NW
S0331,Helen Torres,"female, 6'0"", white t-shirt",12,2025-06-09,55+,Bicycle theft,No,N14 5WB
S0411,Robert Hall,"female, 5'10"", dark coat",11,2025-07-17,35-44,Theft from the person,Yes,SM5 3JA
S0342,Robert Harris,"male, 5'5"", grey sweater",0,2025-06-01,18-24,Theft from the person,No,SM6 7DJ
S0808,Mary Taylor,"male, 5'4"", white t-shirt",12,2025-07-04,18-24,Bicycle theft,Yes,N16 7XY
S0563,Christopher Nelson,"male, 6'0"", red jacket",9,2025-07-09,35-44,Theft from the person,No,DA14 4EE
S0975,Matthew Rodriguez,"female, 6'1"", grey sweater",12,2025-06-08,55+,Theft from the person,Yes,SW8 1DG
S0369,Harper Green,"male, 6'1"", tracksuit",6,2025-05-13,18-24,Bicycle theft,Yes,SW20 9LU
S1078,Sharon Flores,"male, 5'11"", blue jeans",13,2025-07-15,55+,Bicycle theft,Yes,E3 5JX
S1419,Carol Hall,"male, 5'7"", baseball cap",2,2025-06-14,55+,Bicycle theft,No,SW4 9HG
S1261,Donna Thompson,"female, 5'9"", leather jacket",4,2025-06-07,55+,Bicycle theft,Yes,N16 6XJ
S1133,Ava Green,"male, 5'8"", black hoodie",11,2025-06-20,18-24,Theft from the person,Yes,KT3 3XN
S0526,Nancy Martinez,"male, 5'8"", white t-shirt",15,2025-05-03,25-34,Bicycle theft,No,SE13 5NF
S0022,Amelia Adams,"male, 5'4"", dark coat",1,2025-06-17,18-24,Bicycle theft,Yes,KT9 2GD
S0186,Carol Gonzalez,"male, 5'11"", white t-shirt",10,2025-07-26,45-54,Bicycle theft,No,SE8 4NA
S0347,Susan Harris,"female, 5'7"", leather jacket",8,2025-06-04,25-34,Theft from the person,No,KT2 5LG
S0498,James Moore,"male, 5'8"", leather jacket",12,2025-07-11,45-54,Bicycle theft,Yes,SE26 5EF
S1166,Isabella Roberts,"female, 5'9"", white t-shirt",12,2025-07-29,18-24,Bicycle theft,Yes,SE20 8XS
S0186,Carol Gonzalez,"male, 5'11"", white t-shirt",12,2025-07-10,25-34,Theft from the person,No,SW5 0UY
S0913,Harper Anderson,"male, 5'4"", tracksuit",14,2025-05-28,35-44,Theft from the person,No,SW6 3NA
S1479,Mark Lee,"male, 5'4"", dark coat",15,2025-07-05,45-54,Bicycle theft,No,NW9 0SD
S0586,William Gonzalez,"female, 5'11"", leather jacket",8,2025-06-22,35-44,Theft from the person,Yes,WC1A 9RH
S1227,Robert Davis,"male, 5'6"", white t-shirt",7,2025-07-22,55+,Bicycle theft,No,E17 5AL
S1293,Jennifer Garcia,"female, 5'10"", red jacket",12,2025-07-13,18-24,Bicycle theft,No,EC2M 4QT
S1079,Jessica Nguyen,"male, 5'10"", white t-shirt",10,2025-05-27,25-34,Theft from the person,Yes,KT6 5LX
S0695,James Hernandez,"female, 5'10"", blue jeans",22,2025-07-11,35-44,Bicycle theft,No,BR2 7JD
S1463,Olivia Wright,"female, 5'9"", white t-shirt",28,2025-07-25,45-54,Bicycle theft,Yes,SW2 3HL
S1432,Richard Smith,"female, 5'5"", red jacket",40,2025-06-23,35-44,Bicycle theft,Yes,SE23 2JA
S0620,Donna Walker,"female, 5'6"", white t-shirt",4,2025-07-20,18-24,Theft from the person,Yes,DA17 5WH
S0226,Sandra Harris,"male, 5'6"", blue jeans",1,2025-06-14,55+,Bicycle theft,Yes,NW2 9WU
S0092,Daniel Mitchell,"female, 6'2"", blue jeans",14,2025-06-23,35-44,Bicycle theft,Yes,CR5 2EX
S1364,Olivia Hernandez,"male, 5'10"", blue jeans",15,2025-05-14,18-24,Bicycle theft,Yes,W12 9UT
S0468,Mary Johnson,"male, 5'4"", dark coat",16,2025-06-01,35-44,Bicycle theft,No,EN4 0QF
S0370,John Adams,"female, 6'1"", baseball cap",9,2025-06-24,25-34,Theft from the person,Yes,E17 6XX
S1422,Daniel Campbell,"male, 6'1"", red jacket",32,2025-05-25,45-54,Theft from the person,Yes,W11 3QA
S0310,Evelyn Jones,"male, 6'0"", baseball cap",5,2025-06-14,18-24,Bicycle theft,Yes,NW6 7RY
S0470,Emma Ramirez,"female, 5'10"", red jacket",10,2025-07-21,35-44,Bicycle theft,Yes,N2 9HF
S1178,Betty Hill,"male, 5'10"", red jacket",12,2025-06-07,25-34,Bicycle theft,No,N7 9NS
S0995,Evelyn Garcia,"male, 5'9"", red jacket",15,2025-06-17,55+,Bicycle theft,Yes,HA8 6LY
S0452,Donna Perez,"female, 5'7"", red jacket",10,2025-05-10,55+,Theft from the person,Yes,N2 0YJ
S1483,Helen Flores,"female, 6'1"", baseball cap",31,2025-07-20,55+,Bicycle theft,No,E7 0AW
S1469,Andrew Torres,"female, 5'8"", leather jacket",14,2025-06-01,35-44,Theft from the person,Yes,CR9 4NG
S0700,Christopher Perez,"female, 6'0"", baseball cap",6,2025-06-14,25-34,Theft from the person,Yes,N7 0SA
S1093,Karen Garcia,"male, 6'0"", black hoodie",13,2025-05-22,25-34,Theft from the person,No,SW15 2ET
S0904,Andrew Smith,"female, 5'10"", blue jeans",7,2025-06-22,25-34,Bicycle theft,No,TW3 4NP
S0962,Harper Williams,"female, 5'5"", dark coat",6,2025-07-31,45-54,Bicycle theft,No,SW16 4DU
S1496,James Williams,"female, 5'8"", denim jacket",15,2025-05-27,55+,Bicycle theft,No,CR2 2HJ
S1014,Amelia Smith,"male, 5'9"", tracksuit",15,2025-07-13,18-24,Theft from the person,No,NW9 6BQ
S1102,Christopher Garcia,"female, 6'1"", blue jeans",23,2025-07-18,45-54,Theft from the person,Yes,EC1R 4UE
S1496,James Williams,"female, 5'8"", denim jacket",28,2025-07-27,45-54,Bicycle theft,Yes,EC4A 3JD
S0241,Michelle Taylor,"female, 5'5"", grey sweater",22,2025-05-15,35-44,Theft from the person,No,N13 6AD
S0802,Sophia Jones,"male, 5'11"", baseball cap",0,2025-07-11,35-44,Theft from the person,Yes,W3 0NX
S0452,Donna Perez,"female, 5'7"", red jacket",15,2025-07-21,18-24,Theft from the person,No,E14 9LJ
S0334,Nancy Miller,"female, 6'0"", leather jacket",17,2025-07-07,35-44,Theft from the person,No,SE18 2YB
S0672,Ruth Harris,"male, 5'5"", blue jeans",10,2025-05-11,35-44,Bicycle theft,Yes,SM1 2WL
S0110,Richard Sanchez,"male, 5'7"", blue jeans",10,2025-06-01,25-34,Bicycle theft,Yes,W3 9ZG
S1015,Linda Jackson,"male, 5'5"", tracksuit",18,2025-06-26,25-34,Bicycle theft,No,EC2R 7JE
S0580,Evelyn Hall,"female, 5'7"", dark coat",16,2025-05-19,45-54,Theft from the person,No,SW1X 0EX
S1387,William Garcia,"female, 6'2"", tracksuit",15,2025-07-03,25-34,Theft from the person,Yes,EC3M 7NP
S1156,Sophia Jackson,"female, 5'4"", denim jacket",20,2025-05-01,25-34,Bicycle theft,Yes,SM4 4FZ
S1123,Christopher Davis,"male, 5'11"", black hoodie",13,2025-06-04,55+,Theft from the person,Yes,TN14 7QY
S0174,Mia Thompson,"female, 5'11"", grey sweater",15,2025-06-17,55+,Theft from the person,No,HA8 7XL
S1478,Emma Torres,"female, 5'6"", denim jacket",12,2025-05-04,25-34,Theft from the person,Yes,SW3 4WU
S0704,Sharon Torres,"male, 5'9"", denim jacket",9,2025-07-13,25-34,Theft from the person,Yes,W13 8JY
S0726,Charles Gonzalez,"female, 6'1"", blue jeans",7,2025-07-14,35-44,Bicycle theft,No,SW14 8NP
S1223,Helen Thomas,"male, 6'1"", blue jeans",13,2025-05-01,18-24,Bicycle theft,No,N1 5PF
S0432,Ruth Roberts,"female, 6'2"", denim jacket",3,2025-07-12,55+,Bicycle theft,Yes,TW7 6TJ
S0624,James Lee,"male, 5'8"", tracksuit",1,2025-06-19,18-24,Theft from the person,Yes,W5 3JT
S0434,Linda Young,"female, 5'11"", dark coat",10,2025-06-14,18-24,Theft from the person,No,TN16 9AU
S0617,Sarah Martinez,"female, 5'6"", baseball cap",12,2025-05-31,35-44,Bicycle theft,Yes,RM9 5GZ
S1374,Jessica Sanchez,"male, 6'2"", grey sweater",9,2025-05-31,55+,Bicycle theft,Yes,SM5 3NN
S1226,Charlotte Torres,"male, 5'6"", red jacket",10,2025-05-31,45-54,Bicycle theft,Yes,W2 7ZY
S0705,Sarah Taylor,"female, 6'2"", black hoodie",19,2025-06-09,25-34,Bicycle theft,Yes,N19 3HA
S1462,Isabella Carter,"male, 5'11"", dark coat",15,2025-07-21,35-44,Bicycle theft,No,SW19 6AF
S0208,Elizabeth Johnson,"female, 5'7"", baseball cap",3,2025-07-24,25-34,Bicycle theft,No,NW4 9FH
S1473,David Clark,"male, 5'10"", dark coat",35,2025-06-20,55+,Bicycle theft,Yes,SE18 9RA
S0961,Olivia Garcia,"female, 5'9"", leather jacket",25,2025-07-18,35-44,Theft from the person,Yes,EC4V 5BR
S1404,Richard Baker,"male, 5'4"", tracksuit",7,2025-07-17,35-44,Bicycle theft,Yes,SE11 4WW
S1059,Michael Davis,"male, 5'5"", blue jeans",18,2025-07-26,18-24,Bicycle theft,No,IG11 0SZ
S1176,Linda Young,"female, 5'9"", tracksuit",0,2025-06-17,25-34,Theft from the person,Yes,KT6 6JZ
S1449,William Lee,"female, 5'11"", black hoodie",24,2025-05-23,25-34,Bicycle theft,No,W12 7QE
S1497,Joshua Harris,"male, 5'6"", denim jacket",23,2025-05-19,25-34,Bicycle theft,No,RM10 8DG
S1007,Joshua White,"male, 6'1"", white t-shirt",4,2025-07-31,35-44,Bicycle theft,No,KT2 5YS
S0593,Michelle Campbell,"female, 5'8"", baseball cap",17,2025-06-11,25-34,Theft from the person,No,HA5 9BL
S1486,William Martin,"male, 5'10"", denim jacket",34,2025-07-03,45-54,Theft from the person,No,E11 4SW
S1490,Ruth Perez,"female, 5'6"", denim jacket",31,2025-05-12,45-54,Bicycle theft,Yes,KT6 7PQ
S0508,Ava Jones,"female, 5'8"", leather jacket",8,2025-06-03,25-34,Theft from the person,No,CR9 9ZB
S0152,Sophia Adams,"male, 5'7"", leather jacket",15,2025-06-18,55+,Bicycle theft,No,HA4 6HF
S0891,John Rivera,"female, 5'8"", denim jacket",11,2025-05-29,25-34,Theft from the person,No,E4 9PZ
S0267,Emma Miller,"female, 5'8"", grey sweater",15,2025-07-14,35-44,Bicycle theft,Yes,CR4 1DH
S0892,Barbara Carter,"female, 6'1"", denim jacket",14,2025-06-21,18-24,Theft from the person,Yes,W2 5AQ
S0754,Ruth Jackson,"female, 5'7"", denim jacket",9,2025-07-28,18-24,Theft from the person,No,N4 2WS
S1352,Sandra Rodriguez,"male, 5'6"", red jacket",3,2025-06-27,25-34,Theft from the person,No,W5 5AA
S1427,Lisa Hall,"male, 5'9"", white t-shirt",14,2025-07-26,35-44,Theft from the person,Yes,N1 4NA
S0050,Harper Johnson,"female, 6'1"", leather jacket",18,2025-06-03,18-24,Theft from the person,No,E11 4WR
S1445,Donna Martin,"male, 6'2"", tracksuit",13,2025-06-08,18-24,Bicycle theft,Yes,SW15 5DU
S0965,Paul Harris,"male, 6'1"", blue jeans",17,2025-05-21,35-44,Theft from the person,Yes,SW1P 1TB
S1165,Joseph Flores,"male, 6'1"", red jacket",4,2025-06-30,35-44,Bicycle theft,Yes,NW1 5HJ
S0821,David Hall,"male, 5'11"", blue jeans",20,2025-07-01,35-44,Bicycle theft,Yes,N4 3BW
S0103,Amelia Young,"male, 6'0"", red jacket",12,2025-05-20,45-54,Bicycle theft,Yes,SM1 4RJ
S0320,James Lee,"female, 5'8"", black hoodie",14,2025-07-26,45-54,Theft from the person,No,HA3 7ZG
S1194,Jessica Thompson,"female, 6'0"", black hoodie",15,2025-06-25,35-44,Bicycle theft,Yes,EN1 1EA
S1457,Richard Rodriguez,"male, 5'6"", grey sweater",5,2025-07-11,35-44,Theft from the person,No,SM6 9QE
S1327,Ava Torres,"male, 5'7"", white t-shirt",11,2025-06-23,25-34,Theft from the person,Yes,UB1 3PR
S0159,Carol Smith,"female, 5'5"", leather jacket",11,2025-05-18,25-34,Theft from the person,Yes,W1K 2QL
S0341,William Rivera,"male, 5'11"", white t-shirt",4,2025-07-12,45-54,Bicycle theft,Yes,N3 3PD
S0507,Jessica Robinson,"female, 5'6"", black hoodie",1,2025-05-13,25-34,Theft from the person,Yes,BR6 6DY
S0662,Lisa Moore,"female, 6'0"", grey sweater",19,2025-07-18,25-34,Theft from the person,No,W1N 3LH
S0644,Joshua Allen,"male, 5'4"", blue jeans",11,2025-05-02,25-34,Theft from the person,No,E2 2HB
S0239,James Torres,"female, 5'11"", dark coat",12,2025-07-24,35-44,Theft from the person,No,W10 4UE
S1163,Joshua Allen,"female, 6'1"", grey sweater",2,2025-07-11,18-24,Theft from the person,No,HA4 4DS
S1239,Jessica Nelson,"female, 5'10"", grey sweater",5,2025-06-24,35-44,Theft from the person,Yes,E1 3QL
